model,tuned_val_macro_f1,tuned_test_macro_f1,tuned_test_accuracy,baseline_test_macro_f1,delta_test_macro_f1,test_recall_defect,test_recall_longberry,test_recall_peaberry,test_recall_premium,param_lr_phase1,param_lr_phase2,param_weight_decay,param_batch_size,param_scheduler_factor,param_scheduler_patience,param_type_loss_weight,param_label_smoothing,param_mislabel_weight,param_mistake_threshold
08_multitask,0.9869525754481507,0.9697503643589811,0.9696969696969697,0.9397,0.03005036435898112,0.9491525423728814,0.9824561403508771,0.9827586206896551,0.9649122807017544,0.00044154510841204036,0.0007024232367297345,0.005119715025952079,16,0.6364502000846828,6,1.6438643291454964,,,
09_noise_robust,0.9828297212460332,0.9609761583445795,0.961038961038961,0.961,-2.384165542046457e-05,0.9491525423728814,0.9824561403508771,0.9827586206896551,0.9298245614035088,0.0002409564227515494,0.00044230092400573013,0.00028824334394572513,16,0.43701167048675515,2,,0.1254839653229935,0.7512602568315456,0.42613781637783094
05_convnext_tiny,0.9784304511278195,0.9483027347882981,0.948051948051948,0.9479,0.00040273478829810916,0.9322033898305084,0.9649122807017544,0.9482758620689655,0.9473684210526315,0.00010162527445626122,8.784103731773557e-05,0.00010113743021855869,16,0.4020228276855584,3,,,,
